rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls,ast,g_a,g_pk,g_a_pk,xg,xag,xg_xag,npxg,npxg_xag,matches
82,Mark Flekken,nl NED,GK,Leverkusen,32-087,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Jonas Föhrenbach,de GER,DF,Heidenheim,29-225,1996,2,2,150,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,Marco Friedl,at AUT,DF,Werder Bremen,27-176,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Chris Führich,de GER,FW,Stuttgart,27-242,1998,2,0,70,0.8,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.4,4,3,9,0.00,1.29,1.29,0.00,1.29,0.17,0.30,0.47,0.17,0.47,Matches
86,Joel Fujita,jp JPN,MF,St. Pauli,23-204,2002,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.3,3,12,7,0.00,0.50,0.50,0.00,0.50,0.01,0.11,0.13,0.01,0.13,Matches
87,Aleix García,es ESP,"MF,DF",Leverkusen,28-072,1997,2,2,150,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,9,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
88,Jusuf Gazibegović,ba BIH,DF,Köln,25-181,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Yannick Gerhardt,de GER,DF,Wolfsburg,31-179,1994,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Dimitris Giannoulis,gr GRE,"DF,MF",Augsburg,29-326,1995,2,2,122,1.4,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,6,2,7,0.74,0.00,0.74,0.74,0.74,0.09,0.06,0.14,0.09,0.14,Matches
91,Benedikt Gimber,de GER,"DF,MF",Heidenheim,28-201,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
92,Matthias Ginter,de GER,DF,Freiburg,31-232,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,11,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
93,Serge Gnabry,de GER,MF,Bayern Munich,30-056,1995,2,2,153,1.7,1,2,3,1,0,0,0,0,0.5,0.5,0.5,1.0,6,12,7,0.59,1.18,1.76,0.59,1.76,0.31,0.27,0.58,0.31,0.58,Matches
94,Giorgi Gocholeishvili,ge GEO,MF,Hamburger SV,24-206,2001,2,2,161,1.8,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,6,2,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
95,Leon Goretzka,de GER,MF,Bayern Munich,30-214,1995,2,2,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,9,7,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
96,Mario Götze,de GER,MF,Eint Frankfurt,33-097,1992,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
97,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,34-060,1991,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
98,Kamil Grabara,pl POL,GK,Wolfsburg,26-243,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
99,Vincenzo Grifo,it ITA,FW,Freiburg,32-154,1993,2,2,158,1.8,1,0,1,0,1,1,0,0,0.9,0.1,0.2,0.3,4,9,14,0.57,0.00,0.57,0.00,0.00,0.51,0.14,0.65,0.06,0.20,Matches
100,Álex Grimaldo,es ESP,DF,Leverkusen,29-353,1995,2,2,180,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.5,9,7,17,0.00,0.50,0.50,0.00,0.50,0.07,0.17,0.24,0.07,0.24,Matches
101,Pascal Groß,de GER,MF,Dortmund,34-085,1991,2,1,91,1.0,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,0,3,6,0.00,0.99,0.99,0.00,0.99,0.23,0.31,0.54,0.23,0.54,Matches
102,Marco Grüll,at AUT,FW,Werder Bremen,27-064,1998,2,2,158,1.8,0,1,1,0,0,0,0,0,0.5,0.5,0.3,0.8,2,6,15,0.00,0.57,0.57,0.00,0.57,0.26,0.18,0.44,0.26,0.44,Matches
103,Raphaël Guerreiro,pt POR,MF,Bayern Munich,31-260,1993,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,2.61,2.61,0.00,2.61,Matches
104,Serhou Guirassy,gn GUI,FW,Dortmund,29-180,1996,2,2,176,2.0,3,0,3,3,0,1,0,0,3.2,2.4,0.0,2.4,5,1,12,1.53,0.00,1.53,1.53,1.53,1.65,0.00,1.65,1.24,1.24,Matches
105,Péter Gulácsi,hu HUN,GK,RB Leipzig,35-125,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
