rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp,totdist,prgdist,cmp,att,cmp,cmp,att,cmp,cmp,att,cmp,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
107,Janik Haberer,de GER,MF,Union Berlin,31-159,1994,1.6,36,43,83.7,566,107,16,18,88.9,14,16,87.5,3,4,75.0,0,0.0,0.1,0.0,0,1,1,1,2,Matches
108,Robin Hack,de GER,"FW,MF",Gladbach,27-012,1998,2.0,65,88,73.9,1057,441,32,33,97.0,26,36,72.2,4,8,50.0,0,0.6,0.6,-0.6,8,11,4,2,14,Matches
109,Albian Hajdari,ch SUI,DF,Hoffenheim,22-113,2003,0.2,6,9,66.7,83,32,3,4,75.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
110,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,28-234,1997,1.2,44,58,75.9,774,245,19,19,100.0,22,28,78.6,3,7,42.9,0,0.0,0.0,0.0,1,1,0,0,2,Matches
111,Isak Hansen-Aarøen,no NOR,FW,Werder Bremen,21-017,2004,0.0,3,5,60.0,43,3,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
112,Ramon Hendriks,nl NED,DF,Stuttgart,24-052,2001,1.1,75,80,93.8,1124,342,43,45,95.6,30,30,100.0,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
113,Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,32-299,1992,2.0,79,101,78.2,1996,1265,14,14,100.0,41,41,100.0,24,46,52.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
114,Piero Hincapié,ec ECU,DF,Leverkusen,23-242,2002,1.0,82,95,86.3,1390,488,37,40,92.5,42,46,91.3,3,6,50.0,0,0.0,0.0,0.0,0,9,0,0,8,Matches
115,Nicolas Höfler,de GER,MF,Freiburg,35-183,1990,0.2,22,25,88.0,306,50,12,12,100.0,8,10,80.0,0,0,,0,0.0,0.0,0.0,0,4,0,0,2,Matches
116,Lucas Höler,de GER,FW,Freiburg,31-060,1994,1.9,31,48,64.6,413,64,20,30,66.7,8,11,72.7,1,1,100.0,0,0.0,0.1,0.0,0,3,1,0,4,Matches
117,Benedict Hollerbach,de GER,FW,Mainz 05,24-114,2001,0.2,3,3,100.0,23,5,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
118,Franck Honorat,fr FRA,"FW,MF",Gladbach,29-028,1996,2.0,66,92,71.7,1066,401,32,36,88.9,28,39,71.8,4,10,40.0,0,0.4,0.8,-0.4,6,4,3,3,12,Matches
119,Mathias Honsak,at AUT,FW,Heidenheim,28-262,1996,1.1,13,20,65.0,179,37,10,10,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
120,Andreas Hountondji,bj BEN,FW,St. Pauli,23-059,2002,1.5,16,26,61.5,217,93,8,12,66.7,7,8,87.5,0,1,0.0,0,0.1,0.1,-0.1,2,2,0,0,4,Matches
121,Robin Hranáč,cz CZE,DF,Hoffenheim,25-222,2000,1.6,61,70,87.1,1099,264,27,30,90.0,25,25,100.0,7,13,53.8,0,0.0,0.0,0.0,1,6,0,0,2,Matches
122,Timo Hübers,de GER,DF,Köln,29-050,1996,1.5,54,62,87.1,1046,310,16,18,88.9,34,36,94.4,4,7,57.1,0,0.0,0.0,0.0,0,5,0,0,3,Matches
123,Denis Huseinbasic,ba BIH,MF,Köln,24-067,2001,0.6,18,23,78.3,264,91,10,12,83.3,6,8,75.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
124,Oscar Højlund,dk DEN,MF,Eint Frankfurt,20-247,2005,0.2,8,11,72.7,130,67,4,5,80.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
125,Arijon Ibrahimović,de GER,"FW,MF",Heidenheim,19-271,2005,1.4,26,39,66.7,433,70,13,16,81.3,12,16,75.0,1,6,16.7,0,0.0,0.0,0.0,1,1,0,0,3,Matches
126,Andrej Ilic,rs SRB,FW,Union Berlin,25-158,2000,2.0,23,39,59.0,316,111,12,23,52.2,8,10,80.0,0,2,0.0,1,0.2,0.1,+0.8,2,2,1,1,4,Matches
127,Cyriaque Irié,bf BFA,FW,Freiburg,20-080,2005,0.3,13,15,86.7,224,73,6,6,100.0,5,6,83.3,2,3,66.7,0,0.0,0.0,0.0,0,1,1,0,2,Matches
128,Lee Jae-sung,kr KOR,"FW,MF",Mainz 05,33-029,1992,2.0,41,57,71.9,515,88,23,31,74.2,11,13,84.6,1,2,50.0,0,0.3,0.3,-0.3,1,0,1,0,1,Matches
129,Kristijan Jakić,hr CRO,"MF,FW",Augsburg,28-117,1997,2.0,63,77,81.8,1046,278,32,36,88.9,21,23,91.3,8,13,61.5,1,0.2,0.3,+0.8,3,5,1,1,6,Matches
130,Luca Jaquez,ch SUI,DF,Stuttgart,22-098,2003,1.0,89,99,89.9,1587,485,28,30,93.3,56,59,94.9,5,8,62.5,0,0.0,0.0,0.0,1,7,0,0,4,Matches
131,Finn Jeltsch,de GER,DF,Stuttgart,19-053,2006,1.0,53,56,94.6,870,329,23,23,100.0,29,29,100.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
