rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
112,Ramon Hendriks,nl NED,DF,Stuttgart,24-052,2001,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
113,Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,32-299,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
114,Piero Hincapié,ec ECU,DF,Leverkusen,23-242,2002,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,10.3,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
115,Nicolas Höfler,de GER,MF,Freiburg,35-183,1990,0.2,0,1,0,0.0,4.09,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
116,Lucas Höler,de GER,FW,Freiburg,31-060,1994,1.9,0,5,2,40.0,2.59,1.03,0.00,0.00,11.8,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
117,Benedict Hollerbach,de GER,FW,Mainz 05,24-114,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Franck Honorat,fr FRA,"FW,MF",Gladbach,29-028,1996,2.0,0,3,2,66.7,1.50,1.00,0.00,0.00,14.2,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
119,Mathias Honsak,at AUT,FW,Heidenheim,28-262,1996,1.1,0,3,2,66.7,2.81,1.87,0.00,0.00,9.8,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
120,Andreas Hountondji,bj BEN,FW,St. Pauli,23-059,2002,1.5,2,4,3,75.0,2.67,2.00,0.50,0.67,13.0,0,0,0,0.3,0.3,0.09,+1.7,+1.7,Matches
121,Robin Hranáč,cz CZE,DF,Hoffenheim,25-222,2000,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Timo Hübers,de GER,DF,Köln,29-050,1996,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
