rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ,tkld,tkld,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
96,Mario Götze,de GER,MF,Eint Frankfurt,33-097,1992,0.2,10,0,1,2,7,0,10,0,0,,0,,5,14,5,0,0,0,2,1,9,1,Matches
97,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,34-060,1991,2.0,109,17,56,49,5,1,109,0,0,,0,,52,265,118,0,0,0,3,2,51,1,Matches
98,Kamil Grabara,pl POL,GK,Wolfsburg,26-243,1999,2.0,80,70,78,2,0,0,80,0,0,,0,,53,256,166,0,0,0,0,0,36,0,Matches
99,Vincenzo Grifo,it ITA,FW,Freiburg,32-154,1993,1.8,104,1,12,54,38,5,103,4,4,100.0,0,0.0,55,302,163,4,3,1,1,1,65,14,Matches
100,Álex Grimaldo,es ESP,DF,Leverkusen,29-353,1995,2.0,165,1,22,73,71,2,165,7,2,28.6,4,57.1,109,536,312,9,8,0,2,1,116,17,Matches
101,Pascal Groß,de GER,MF,Dortmund,34-085,1991,1.0,75,2,7,51,18,4,75,1,0,0.0,1,100.0,43,137,50,0,0,0,4,1,57,6,Matches
102,Marco Grüll,at AUT,FW,Werder Bremen,27-064,1998,1.8,67,0,5,29,34,9,67,2,0,0.0,2,100.0,38,127,57,2,2,0,7,2,41,15,Matches
103,Raphaël Guerreiro,pt POR,MF,Bayern Munich,31-260,1993,0.1,5,0,0,3,3,1,5,0,0,,0,,3,14,2,0,0,0,0,0,3,0,Matches
104,Serhou Guirassy,gn GUI,FW,Dortmund,29-180,1996,2.0,72,4,10,31,33,15,71,6,2,33.3,3,50.0,38,214,110,5,3,3,8,0,48,12,Matches
105,Péter Gulácsi,hu HUN,GK,RB Leipzig,35-125,1990,2.0,80,67,80,0,0,0,80,0,0,,0,,58,237,130,0,0,0,0,0,54,0,Matches
106,Christian Günter,de GER,DF,Freiburg,32-192,1993,1.9,90,2,22,32,36,2,90,1,0,0.0,1,100.0,39,138,50,2,2,0,4,0,47,7,Matches
107,Janik Haberer,de GER,MF,Union Berlin,31-159,1994,1.6,54,1,15,25,15,0,54,3,0,0.0,1,33.3,27,81,22,0,1,0,0,0,27,1,Matches
108,Robin Hack,de GER,"FW,MF",Gladbach,27-012,1998,2.0,109,2,10,53,47,8,109,3,2,66.7,1,33.3,58,396,223,8,4,1,5,2,79,15,Matches
109,Albian Hajdari,ch SUI,DF,Hoffenheim,22-113,2003,0.2,15,1,3,11,1,0,15,0,0,,0,,5,26,19,0,0,0,1,0,8,0,Matches
110,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,28-234,1997,1.2,72,4,38,28,7,4,72,0,0,,0,,32,153,75,0,0,0,1,0,37,1,Matches
