rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl,att,tkl,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
110,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,28-234,1997,1.2,1,1,1,0,0,0,0,,0,1,1,0,1,2,6,0,Matches
111,Isak Hansen-Aarøen,no NOR,FW,Werder Bremen,21-017,2004,0.0,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
112,Ramon Hendriks,nl NED,DF,Stuttgart,24-052,2001,1.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,5,0,Matches
113,Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,32-299,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
114,Piero Hincapié,ec ECU,DF,Leverkusen,23-242,2002,1.0,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,Matches
115,Nicolas Höfler,de GER,MF,Freiburg,35-183,1990,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
116,Lucas Höler,de GER,FW,Freiburg,31-060,1994,1.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
117,Benedict Hollerbach,de GER,FW,Mainz 05,24-114,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
118,Franck Honorat,fr FRA,"FW,MF",Gladbach,29-028,1996,2.0,5,2,1,3,1,0,2,0.0,2,0,0,0,0,5,2,0,Matches
119,Mathias Honsak,at AUT,FW,Heidenheim,28-262,1996,1.1,2,2,2,0,0,1,2,50.0,1,0,0,0,2,4,0,0,Matches
120,Andreas Hountondji,bj BEN,FW,St. Pauli,23-059,2002,1.5,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,Matches
121,Robin Hranáč,cz CZE,DF,Hoffenheim,25-222,2000,1.6,2,2,2,0,0,1,1,100.0,0,3,2,1,0,2,12,0,Matches
