player,club,position,minutes,nineties,key_passes_per90,prog_passes_per90,shots_per90,xg_per90,interceptions_per90,tackles_won_per90,prog_carries_per90
Timo Hübers,Köln,DF,135,1.5,0.0,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Denis Huseinbasic,Köln,MF,58,0.6,0.0,3.3333333333333335,1.6666666666666667,0.33333333333333337,0.0,0.0,1.6666666666666667
Oscar Højlund,Eint Frankfurt,MF,17,0.2,0.0,5.0,0.0,0.0,5.0,0.0,0.0
Arijon Ibrahimović,Heidenheim,"FW,MF",127,1.4,0.7142857142857143,2.142857142857143,0.7142857142857143,0.35714285714285715,0.0,0.7142857142857143,1.4285714285714286
Andrej Ilic,Union Berlin,FW,180,2.0,1.0,2.0,3.5,0.45,0.0,0.0,0.5
Cyriaque Irié,Freiburg,FW,31,0.3,0.0,6.666666666666667,3.3333333333333335,0.0,0.0,3.3333333333333335,0.0
Lee Jae-sung,Mainz 05,"FW,MF",180,2.0,0.5,0.5,3.0,0.25,0.0,1.5,0.0
Kristijan Jakić,Augsburg,"MF,FW",180,2.0,1.5,3.0,1.5,0.15,1.5,1.0,1.5
Luca Jaquez,Stuttgart,DF,90,1.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0
Finn Jeltsch,Stuttgart,DF,90,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0
Castrop Jens,Gladbach,MF,24,0.3,0.0,6.666666666666667,3.3333333333333335,0.33333333333333337,0.0,6.666666666666667,3.3333333333333335
Moritz Jenz,Wolfsburg,DF,180,2.0,0.0,0.5,0.0,0.0,0.0,1.5,0.0
Ísak Jóhannesson,Köln,MF,169,1.9,0.5263157894736842,4.2105263157894735,0.5263157894736842,0.052631578947368425,0.5263157894736842,0.0,0.5263157894736842
Lazar Jovanović,Stuttgart,"FW,MF",36,0.4,2.5,2.5,2.5,0.25,0.0,0.0,5.0
Anthony Jung,Freiburg,DF,22,0.2,5.0,10.0,0.0,0.0,0.0,0.0,0.0
Josip Juranović,Union Berlin,DF,7,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Martijn Kaars,St. Pauli,"MF,FW",22,0.2,5.0,10.0,10.0,1.0,0.0,0.0,20.0
Anton Kade,Augsburg,DF,27,0.3,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,3.3333333333333335
Florian Kainz,Köln,MF,11,0.1,0.0,10.0,0.0,0.0,0.0,0.0,10.0
Jakub Kamiński,Köln,"MF,FW",180,2.0,4.0,2.5,3.5,0.5,0.0,0.0,2.0
Harry Kane,Bayern Munich,FW,175,1.9,3.1578947368421053,3.68421052631579,2.6315789473684212,0.3684210526315789,1.0526315789473684,0.0,1.0526315789473684
Atakan Karazor,Stuttgart,MF,144,1.6,0.0,3.125,1.25,0.125,0.0,1.25,0.625
Lennart Karl,Bayern Munich,FW,22,0.2,0.0,0.0,15.0,0.5,0.0,10.0,10.0
Mikkel Kaufmann,Heidenheim,FW,76,0.8,0.0,1.25,0.0,0.0,1.25,1.25,0.0
Aljoscha Kemlein,Union Berlin,MF,9,0.1,10.0,0.0,0.0,0.0,0.0,0.0,10.0
Luca Kerber,Heidenheim,MF,96,1.1,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.9090909090909091
Rani Khedira,Union Berlin,MF,180,2.0,0.0,0.5,0.0,0.0,2.0,1.5,1.0
